RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;AbsoluteDreamer;2020-12-25 22:30:00 UTC;-;(6486.1);3847.1;145.6°;C0;racing;52°10'11.58"S 53°24'56.10"W;47.570;85.159;15.8;16.02;1.0386;97%;?
#;davor56_RKN;2020-12-25 22:30:00 UTC;-;(6309.1);4024.7;145.4°;LJ (Auto);racing;49°32'47.01"S 51°13'13.51"W;38.495;50.114;14.7;11.04;1.0030;?;?
#;Picova-RKN;2020-12-25 22:30:00 UTC;-;(6474.4);3858.3;145.9°;C0 (Auto);racing;52°09'20.57"S 52°53'17.67"W;51.106;84.055;16.6;16.50;1.0431;100%;?
#;www.talmondais.com;2020-12-25 22:30:00 UTC;-;(6635.4);3708.0;140.5°;Jib (Auto);racing;51°27'37.67"S 61°36'57.57"W;302.000;6.895;4.8;0.40;1.0000;0%;?
#;Xolub RKN;2020-12-25 22:30:00 UTC;-;(6444.6);3887.9;146.1°;C0 (Auto);racing;51°49'20.36"S 52°14'43.04"W;55.203;81.369;17.7;16.91;1.0431;100%;?
#;jf44-RKN;2020-12-25 22:30:00 UTC;139445;10827.84;-4033.6;141.9°;LG (Auto);racing;53°56'55.67"S 177°27'36.50"W;80.940;135.328;8.7;8.98;1.0030;no;hull,light,radio,skin
#;bigouden wind RKN;2020-12-25 22:30:00 UTC;-;(10309.8);13.4;170.0°;C0 (Auto);racing;54°10'08.55"S 177°23'37.26"W;76.310;128.017;9.0;9.65;1.0000;?;?
#;Bourne34 RKN;2020-12-25 22:30:00 UTC;-;(6319.5);4013.9;145.6°;LJ (Auto);racing;49°47'40.16"S 51°07'24.24"W;48.227;60.493;15.0;12.09;1.0036;?;?
#;City of le MANS RKN;2020-12-25 22:30:00 UTC;-;(6457.1);3875.4;146.1°;C0 (Auto);racing;51°59'53.83"S 52°25'45.29"W;51.490;80.084;17.4;16.50;1.0431;100%;?
#;DANA_C-RKN;2020-12-25 14:58:24 UTC;-;(6645.2);-0.2;275.9°;LJ (Auto);racing;38°44'23.54"S 77°31'43.70"E;301.024;44.980;11.0;-;-;?;?
#;EoliaMC-RKN;2020-12-25 17:31:49 UTC;-;(6645.6);-0.3;101.7°;C0 (Auto);racing;38°44'28.33"S 77°32'20.20"E;18.676;73.515;6.8;-;-;?;?
#;F1704 RKN;2020-12-25 22:30:00 UTC;-;(6315.8);4018.0;145.4°;LJ (Auto);racing;49°38'07.98"S 51°19'33.97"W;42.869;55.057;14.9;11.42;1.0030;?;?
#;Fun lifestyles RKN;2020-12-25 22:30:00 UTC;-;(10278.5);-424.5;267.4°;LG (Auto);racing;53°40'28.17"S 170°33'10.97"E;117.000;145.246;15.0;14.19;1.0352;80%;?
#;GarosseC-RKN;2020-12-25 18:40:00 UTC;-;(6643.2);2.1;320.5°;Spi;racing;38°42'46.02"S 77°30'13.05"E;132.000;176.576;6.6;-;-;?;?
#;Garrouille RKN;2020-12-25 22:30:00 UTC;-;(6339.3);3996.1;144.4°;C0 (Auto);racing;49°29'53.11"S 52°44'53.76"W;59.000;79.381;16.2;15.63;1.0406;94%;?
#;Iety_RKN;2020-12-25 22:30:00 UTC;-;(6439.4);3893.2;146.0°;C0 (Auto);racing;51°43'19.02"S 52°14'13.69"W;49.399;74.622;17.8;15.67;1.0215;46%;?
#;iroizo;2020-12-25 22:30:00 UTC;-;(9040.4);-1857.6;266.4°;C0;racing;45°25'19.14"S 135°31'39.72"E;99.419;122.125;23.5;20.82;1.0000;no;?
#;KELPIEDSinglePlayer;2020-12-25 22:30:00 UTC;-;(6308.5);4025.1;145.5°;LJ;racing;49°35'09.73"S 51°06'00.30"W;39.196;50.607;14.6;11.07;1.0030;?;?
#;letango RKN;2020-12-25 22:30:00 UTC;-;(6453.5);3879.3;145.9°;C0 (Auto);racing;51°50'55.57"S 52°36'47.48"W;57.828;86.603;17.1;17.20;1.0431;100%;?
#;Lothe60RKN;2020-12-25 22:30:00 UTC;-;(9860.7);-942.7;262.7°;HG;racing;53°00'08.63"S 156°02'03.51"E;156.779;146.583;21.4;17.09;1.0000;no;?
#;Malamoc;2020-12-25 22:30:00 UTC;-;(6338.7);3996.7;144.5°;C0 (Auto);racing;49°30'18.49"S 52°42'14.39"W;58.000;78.002;16.1;15.29;1.0351;80%;?
#;Malizia rkn;2020-12-25 22:30:00 UTC;-;(6327.2);4007.8;144.7°;C0 (Auto);racing;49°26'37.21"S 52°18'50.06"W;47.000;63.923;15.7;12.75;1.0030;?;?
#;mezua34;2020-12-25 22:30:00 UTC;-;(9756.7);712.4;99.5°;Jib;racing;54°12'34.56"S 157°09'26.70"W;75.639;43.250;10.8;9.00;1.0000;?;?
#;philou 33 RKN;2020-12-25 22:30:00 UTC;-;(6322.5);4012.7;144.6°;C0 (Auto);racing;49°19'45.96"S 52°21'45.04"W;47.501;64.725;15.6;12.82;1.0030;?;?
#;Iroizo C-RKN;2020-12-25 22:00:50 UTC;603078;15037.56;-;270.0°;LJ (Auto);racing;38°44'24.63"S 77°31'57.19"E;9.000;44.826;7.0;-;-;no;heavy,light,skin
#;Matheja1664;2020-12-25 22:30:00 UTC;-;(10265.8);-67.8;192.7°;Spi (Auto);racing;55°03'00.21"S 177°53'34.86"W;85.593;128.314;11.3;11.93;1.0000;no;?
#;PostR 2cvFurtive RKN;2020-12-25 22:30:00 UTC;-;(6301.1);4037.6;142.8°;C0 (Auto);racing;48°05'46.89"S 54°10'22.31"W;68.092;98.344;15.6;17.18;1.0403;93%;?
#;R3e Nice RKN;2020-12-25 22:30:00 UTC;-;(6490.0);3844.7;144.8°;C0 (Auto);racing;51°47'11.18"S 54°29'35.30"W;32.000;80.540;14.2;14.53;1.0290;65%;?
#;RafaleRKN;2020-12-25 22:30:00 UTC;-;(10258.1);-75.4;190.8°;Spi;racing;55°10'55.59"S 177°52'20.34"W;63.000;104.705;11.5;12.32;1.0000;no;?
#;rapido79 RKN;2020-12-25 22:30:00 UTC;-;(6324.8);4010.8;144.4°;C0 (Auto);racing;49°15'39.27"S 52°37'31.32"W;57.000;76.269;15.8;14.85;1.0272;60%;?
#;Rcfan77;2020-12-25 22:30:00 UTC;-;(10194.4);-495.3;260.7°;LG (Auto);racing;54°27'46.05"S 168°25'50.29"E;73.000;148.773;17.1;14.56;1.0030;no;?
#;RKobisN;2020-12-25 22:30:00 UTC;-;(10113.8);-651.5;264.6°;Spi;racing;53°33'02.98"S 164°08'12.15"E;90.000;159.073;19.6;12.89;1.0000;no;?
#;Silwo RKN;2020-12-25 22:30:00 UTC;-;(6437.8);3894.8;146.0°;C0 (Auto);racing;51°41'01.43"S 52°15'08.31"W;50.315;75.594;17.7;15.83;1.0254;56%;?
#;SrevnelaC-RKN;2020-12-25 21:51:15 UTC;-;(6644.2);1.2;298.1°;Jib;racing;38°43'50.10"S 77°30'34.19"E;30.000;65.744;6.9;-;-;?;?
#;thechmot.RKN;2020-12-25 22:30:00 UTC;-;(6325.1);4009.6;144.8°;C0 (Auto);racing;49°30'04.07"S 52°04'55.95"W;60.136;74.775;15.4;14.38;1.0200;42%;?
#;Tovaritch_RKN;2020-12-25 22:30:00 UTC;-;(10321.7);30.5;68.4°;Spi (Auto);racing;53°45'32.66"S 176°39'35.82"W;59.324;130.657;6.4;7.10;1.0000;?;?
#;Varlingue RKN;2020-12-25 22:30:00 UTC;-;(10314.5);22.2;89.0°;Spi;racing;53°56'25.46"S 176°49'57.49"W;70.995;130.773;7.2;7.62;1.0000;?;?
